date_time	B.1	B.1.1	B.1.1.7	B.1.351	B.1.393	B.1.525	B.1.617.1	B.1.617.2	Other	source
"2020-12-11T00:00:00.000Z"	0.04856512141280354	0.11037527593818987	0	0	0.03090507726269316	0	0.008830022075055188	0.01545253863134658	0.7858719646799117	
"2020-12-12T00:00:00.000Z"	0.05282465150403521	0.11885546588407922	0	0	0.01540719002201027	0	0.004402054292002934	0.020542920029347024	0.7879677182685253	
"2020-12-13T00:00:00.000Z"	0.05535841022001419	0.10220014194464157	0.004258339247693399	0	0.009936124911284597	0	0.004258339247693399	0.014904187366926896	0.8090844570617458	
"2020-12-14T00:00:00.000Z"	0.046592894583576	0.10095127159774801	0.003882741215298	0	0.0067947971267715	0	0	0.010871675402834402	0.8309066200737721	
"2020-12-15T00:00:00.000Z"	0.04782509678888636	0.0854019585515828	0.040992940104759734	0	0.004782509678888636	0	0	0.007970849464814394	0.8130266454110682	
"2020-12-16T00:00:00.000Z"	0.05208898534997287	0.08138903960933262	0.03906673901247965	0	0.003798155181768855	0	0	0.0065111231687466084	0.8171459576776994	
"2020-12-17T00:00:00.000Z"	0.0696969696969697	0.0696969696969697	0.045454545454545456	0	0.0030303030303030303	0	0.0030303030303030303	0.0030303030303030303	0.8060606060606061	
"2020-12-18T00:00:00.000Z"	0.07164179104477612	0.08358208955223881	0.04477611940298508	0	0	0	0.005970149253731343	0.0029850746268656717	0.7910447761194029	
"2020-12-19T00:00:00.000Z"	0.07530120481927711	0.08132530120481928	0.045180722891566265	0	0	0	0.009036144578313253	0	0.7891566265060241	
"2020-12-20T00:00:00.000Z"	0.0830670926517572	0.0830670926517572	0.04472843450479234	0	0	0	0.009584664536741215	0	0.7795527156549521	
"2020-12-21T00:00:00.000Z"	0.09764309764309764	0.08754208754208755	0.04713804713804714	0	0	0	0.0101010101010101	0	0.7575757575757576	
"2020-12-22T00:00:00.000Z"	0.09621993127147767	0.09278350515463918	0.03780068728522337	0	0	0	0.010309278350515464	0	0.7628865979381444	
"2020-12-23T00:00:00.000Z"	0.07885304659498207	0.1039426523297491	0.05734767025089605	0	0	0	0.01075268817204301	0	0.7491039426523297	
"2020-12-24T00:00:00.000Z"	0.05263157894736842	0.10526315789473684	0.11278195488721804	0	0	0	0.007518796992481203	0	0.7218045112781954	
"2020-12-25T00:00:00.000Z"	0.05300353356890459	0.0812720848056537	0.13780918727915192	0	0	0	0.007067137809187278	0	0.7208480565371024	
"2020-12-26T00:00:00.000Z"	0.05084745762711865	0.09830508474576273	0.16271186440677968	0	0	0	0.0033898305084745766	0	0.6847457627118645	
"2020-12-27T00:00:00.000Z"	0.047619047619047616	0.10884353741496598	0.18027210884353742	0	0	0	0.003401360544217687	0	0.6598639455782314	
"2020-12-28T00:00:00.000Z"	0.034482758620689655	0.1	0.196551724137931	0	0	0	0.003448275862068965	0	0.6655172413793103	
"2020-12-29T00:00:00.000Z"	0.028925619834710745	0.09504132231404959	0.20247933884297523	0	0	0	0.004132231404958678	0	0.6694214876033058	
"2020-12-30T00:00:00.000Z"	0.02904564315352697	0.08713692946058091	0.1991701244813278	0.05809128630705394	0	0	0.004149377593360995	0	0.6224066390041493	
"2020-12-31T00:00:00.000Z"	0.03482587064676617	0.07960199004975124	0.1691542288557214	0.03482587064676617	0	0	0.004975124378109453	0	0.6766169154228856	
"2021-01-01T00:00:00.000Z"	0.03339517625231911	0.10018552875695733	0.1391465677179963	0.025974025974025972	0	0	0	0	0.7012987012987013	
"2021-01-02T00:00:00.000Z"	0.02476780185758514	0.09287925696594428	0.10526315789473684	0.021671826625386997	0	0	0	0	0.7554179566563467	
"2021-01-03T00:00:00.000Z"	0.01913265306122449	0.08928571428571429	0.07653061224489796	0.01785714285714286	0	0	0.025510204081632654	0	0.7716836734693877	
"2021-01-04T00:00:00.000Z"	0.026431718061674006	0.09251101321585903	0.05947136563876652	0.01541850220264317	0	0	0.026431718061674006	0	0.7797356828193832	
"2021-01-05T00:00:00.000Z"	0.03973509933774834	0.11258278145695362	0.059602649006622516	0.01324503311258278	0	0	0.03311258278145695	0	0.7417218543046357	
"2021-01-06T00:00:00.000Z"	0.06802721088435375	0.10884353741496598	0.04081632653061224	0	0	0	0.04081632653061224	0	0.7414965986394557	
"2021-01-07T00:00:00.000Z"	0.07586206896551724	0.11724137931034481	0.02758620689655172	0	0	0	0.04827586206896552	0	0.7310344827586206	
"2021-01-08T00:00:00.000Z"	0.08064516129032258	0.13709677419354838	0.03225806451612903	0	0	0	0.056451612903225805	0	0.6935483870967742	
"2021-01-09T00:00:00.000Z"	0.08403361344537816	0.1596638655462185	0.03361344537815126	0	0	0	0.06722689075630252	0	0.6554621848739496	
"2021-01-10T00:00:00.000Z"	0.09322033898305086	0.1440677966101695	0.03389830508474577	0	0	0	0.03389830508474577	0	0.6949152542372882	
"2021-01-11T00:00:00.000Z"	0.08064516129032258	0.1693548387096774	0.04838709677419354	0	0	0	0.03225806451612903	0	0.6693548387096774	
"2021-01-12T00:00:00.000Z"	0.10691823899371068	0.15723270440251572	0.0440251572327044	0	0	0	0.018867924528301886	0	0.6729559748427673	
"2021-01-13T00:00:00.000Z"	0.10778443113772457	0.16766467065868265	0.035928143712574856	0	0	0	0.011976047904191617	0	0.6766467065868265	
"2021-01-14T00:00:00.000Z"	0.1005586592178771	0.16759776536312848	0.03910614525139665	0	0	0	0.005586592178770949	0	0.6871508379888268	
"2021-01-15T00:00:00.000Z"	0.11165048543689321	0.1504854368932039	0.048543689320388356	0	0	0	0.009708737864077669	0	0.6796116504854369	
"2021-01-16T00:00:00.000Z"	0.13953488372093023	0.14883720930232558	0.046511627906976744	0	0	0	0.004651162790697674	0	0.6604651162790697	
"2021-01-17T00:00:00.000Z"	0.15315315315315314	0.15765765765765766	0.05405405405405405	0	0	0	0.0045045045045045045	0	0.6306306306306306	
"2021-01-18T00:00:00.000Z"	0.15948275862068967	0.15086206896551727	0.060344827586206906	0	0	0	0.008620689655172414	0	0.6206896551724139	
"2021-01-19T00:00:00.000Z"	0.1559633027522936	0.1559633027522936	0.08715596330275231	0	0	0	0.013761467889908258	0	0.5871559633027523	
"2021-01-20T00:00:00.000Z"	0.15929203539823011	0.14601769911504425	0.11061946902654868	0	0	0	0.01327433628318584	0	0.5707964601769911	
"2021-01-21T00:00:00.000Z"	0.16143497757847536	0.16143497757847536	0.10313901345291479	0	0	0	0.013452914798206277	0	0.5605381165919282	
"2021-01-22T00:00:00.000Z"	0.1559633027522936	0.17431192660550462	0.11467889908256883	0	0	0	0.009174311926605505	0	0.5458715596330276	
"2021-01-23T00:00:00.000Z"	0.1346153846153846	0.16346153846153844	0.1201923076923077	0	0	0	0.009615384615384614	0	0.5721153846153846	
"2021-01-24T00:00:00.000Z"	0.11979166666666667	0.16145833333333334	0.11979166666666667	0	0	0	0.010416666666666666	0	0.5885416666666666	
"2021-01-25T00:00:00.000Z"	0.13218390804597702	0.1781609195402299	0.10344827586206898	0	0	0	0.005747126436781609	0	0.5804597701149425	
"2021-01-26T00:00:00.000Z"	0.11842105263157895	0.17763157894736842	0.08552631578947369	0	0	0	0	0	0.618421052631579	
