rr,decline,imp,lik
1.75,0.025,1.6,-1263.8346096279524
1.7999999999999998,0.025,1.6,-2184.8956836931347
1.4,0.03,1.6,-901.8477291208799
1.45,0.03,1.6,-815.4384510370394
1.5,0.03,1.6,-792.5963749754277
1.5499999999999998,0.03,1.6,-736.614179025867
1.5999999999999999,0.03,1.6,-787.261465411447
1.65,0.03,1.6,-763.8664320111247
1.7,0.03,1.6,-1074.22996779388
1.75,0.03,1.6,-1425.799649858449
1.7999999999999998,0.03,1.6,-2537.5616472803686
1.4,0.035,1.6,-1182.078890505315
1.45,0.035,1.6,-1070.8535849667214
1.5,0.035,1.6,-919.8423383844969
1.5499999999999998,0.035,1.6,-898.3459653896938
1.5999999999999999,0.035,1.6,-823.4305566877885
1.65,0.035,1.6,-797.8057332885483
1.7,0.035,1.6,-862.3982609827021
1.75,0.035,1.6,-1411.963264999477
1.7999999999999998,0.035,1.6,-1112.9152751525646
1.4,0.04,1.6,-1646.7461266408907
1.45,0.04,1.6,-1417.1541502391915
1.5,0.04,1.6,-1270.0685096899388
1.5499999999999998,0.04,1.6,-1073.8113590205523
1.5999999999999999,0.04,1.6,-997.375981782696
1.65,0.04,1.6,-915.5023632813677
1.7,0.04,1.6,-911.7174036378304
1.75,0.04,1.6,-1429.6763947393474
1.7999999999999998,0.04,1.6,-1083.779446965239
1.4,0.02,1.8000000000000003,-732.8061267548209
1.45,0.02,1.8000000000000003,-764.2135183715644
1.5,0.02,1.8000000000000003,-844.7255015929022
1.5499999999999998,0.02,1.8000000000000003,-1032.5012638593798
1.5999999999999999,0.02,1.8000000000000003,-1369.3288385173128
1.65,0.02,1.8000000000000003,-1418.89892758199
1.7,0.02,1.8000000000000003,-1562.8346414909631
1.75,0.02,1.8000000000000003,-2436.550028074938
1.7999999999999998,0.02,1.8000000000000003,-3498.6430594908534
1.4,0.025,1.8000000000000003,-728.18404235293394
1.45,0.025,1.8000000000000003,-717.4864748804375
1.5,0.025,1.8000000000000003,-716.4188044302576
1.5499999999999998,0.025,1.8000000000000003,-828.8740775878578
1.5999999999999999,0.025,1.8000000000000003,-911.457666499294
1.65,0.025,1.8000000000000003,-906.0090711997782
1.7,0.025,1.8000000000000003,-1632.8498315168583
1.75,0.025,1.8000000000000003,-2000.0374767625294
1.7999999999999998,0.025,1.8000000000000003,-2516.0221033979524
1.4,0.03,1.8000000000000003,-803.9413681020166
1.45,0.03,1.8000000000000003,-800.0119780787902
1.5,0.03,1.8000000000000003,-748.0524901463659
1.5499999999999998,0.03,1.8000000000000003,-742.5101211974408
1.5999999999999999,0.03,1.8000000000000003,-935.9501757441958
1.65,0.03,1.8000000000000003,-949.4828903888454
1.7,0.03,1.8000000000000003,-1172.0919941172588
1.75,0.03,1.8000000000000003,-1477.3316182146152
1.7999999999999998,0.03,1.8000000000000003,-1890.011950056286
1.4,0.035,1.8000000000000003,-1016.1097437540093
1.45,0.035,1.8000000000000003,-929.9950155396093
1.5,0.035,1.8000000000000003,-886.8872656502042
1.5499999999999998,0.035,1.8000000000000003,-829.3547020452979
1.5999999999999999,0.035,1.8000000000000003,-945.8233235374573
1.65,0.035,1.8000000000000003,-864.8044960778236
1.7,0.035,1.8000000000000003,-1086.1937458010386
1.75,0.035,1.8000000000000003,-1392.2545172504183
1.7999999999999998,0.035,1.8000000000000003,-1569.9322055025543
1.4,0.04,1.8000000000000003,-1503.0269887033792
1.45,0.04,1.8000000000000003,-1238.82849708313
1.5,0.04,1.8000000000000003,-1159.287286397813
1.5499999999999998,0.04,1.8000000000000003,-1048.4897897467627
1.5999999999999999,0.04,1.8000000000000003,-976.9424346721905
1.65,0.04,1.8000000000000003,-1060.5116720555686
1.7,0.04,1.8000000000000003,-1095.2066318111074
1.75,0.04,1.8000000000000003,-1437.9969238884084
1.7999999999999998,0.04,1.8000000000000003,-2273.438336640571
1.4,0.02,2,-864.0828881990774
1.45,0.02,2,-941.4849366971944
1.5,0.02,2,-1281.228024322733
1.5499999999999998,0.02,2,-1264.5409816227452
1.5999999999999999,0.02,2,-1609.691833155183
1.65,0.02,2,-2171.9443340421426
1.7,0.02,2,-2782.2053402672846
1.75,0.02,2,-3407.667555725648
1.7999999999999998,0.02,2,-3820.862053310881
1.4,0.025,2,-745.607878084524
1.45,0.025,2,-885.0458510387798
1.5,0.025,2,-875.7268967873979
1.5499999999999998,0.025,2,-1130.9768460896917
1.5999999999999999,0.025,2,-1546.9972119361994
1.65,0.025,2,-1817.8469360483577
1.7,0.025,2,-2490.4445798712322
1.75,0.025,2,-2891.5842592775402
1.7999999999999998,0.025,2,-4299.82290531382
1.4,0.03,2,-845.6881445979609
1.45,0.03,2,-826.6729461708987
1.5,0.03,2,-897.1638457424065
1.5499999999999998,0.03,2,-973.0494187682621
1.5999999999999999,0.03,2,-1068.8864589087257
1.65,0.03,2,-1477.6672469159914
1.7,0.03,2,-2380.592171035241
1.75,0.03,2,-3158.7752093521553
1.7999999999999998,0.03,2,-3164.992354670144
1.4,0.035,2,-1010.7396130320622
1.45,0.035,2,-897.5295999291498
1.5,0.035,2,-971.0087823567167
1.5499999999999998,0.035,2,-957.6157121651522
1.5999999999999999,0.035,2,-1152.8530920360931
1.65,0.035,2,-1538.6885543297583
1.7,0.035,2,-1902.6506337013852
1.75,0.035,2,-2297.3676263946477
1.7999999999999998,0.035,2,-2846.874953138213
1.4,0.04,2,-1194.1219009921235
1.45,0.04,2,-1110.4986252548226
1.5,0.04,2,-1045.7276118646705
1.5499999999999998,0.04,2,-1011.592504133735
1.5999999999999999,0.04,2,-1198.5146649775693
1.65,0.04,2,-1423.5170534571996
1.7,0.04,2,-1832.019511161608
1.75,0.04,2,-1993.7492511836135
1.7999999999999998,0.04,2,-3357.2025878651657
