region,parameter,value
South West,R_traveller,2.4 (95% CrI: 1.8-3.1)
South West,R_non_traveller,1.8 (95% CrI: 1.8-1.9)
South West,R_recent,1.4 (95% CrI: 1.3-1.4)
South West,R_non_17,0.95 (95% CrI: 0.94-0.96)
South West,ratio_617_2,1.94 (95% CrI: 1.84-2.02)
South West,ratio_617_2_recent,1.44 (95% CrI: 1.37-1.51)
South West,decline,26 (95% CrI: 20-30)
South West,decline_date,2021-05-09 (95% CrI:2021-05-06 - 2021-05-11)
