region,parameter,value
London,R_traveller,1.7 (95% CrI: 1.4-2.3)
London,R_non_traveller,1.4 (95% CrI: 1.3-1.5)
London,R_p7,1.4 (95% CrI: 1.2-1.4)
London,R_p17,1.5 (95% CrI: 1.4-1.5)
London,R_non_617,0.93 (95% CrI: 0.91-0.94)
London,ratio_617_2,1.52 (95% CrI: 1.44-1.6)
London,ratio_617_2_recent,1.48 (95% CrI: 1.36-1.54)
London,ratio_617_2_end,1.57 (95% CrI: 1.51-1.63)
London,decline,2.1 (95% CrI: 0.084-12)
London,decline_date,2021-05-13 (95% CrI:2021-05-09 - 2021-05-16)
London,doubling,11.2
London,surge_report,1.1 (95% CrI: 1-1.2)
London,end_scale,1.1 (95% CrI: 0.99-1.2)
