region,parameter,value
South West,R_traveller,1 (95% CrI: 0.97-1.1)
South West,R_non_traveller,0.91 (95% CrI: 0.86-1)
South West,R_p7,0.9 (95% CrI: 0.85-0.99)
South West,R_p17,1.5 (95% CrI: 1.2-1.7)
South West,R_non_617,0.97 (95% CrI: 0.97-0.98)
South West,ratio_617_2,0.931 (95% CrI: 0.883-1.03)
South West,ratio_617_2_recent,0.924 (95% CrI: 0.87-1.02)
South West,ratio_617_2_end,1.55 (95% CrI: 1.23-1.69)
South West,decline,0.66 (95% CrI: 0.0043-3.3)
South West,decline_date,2021-05-14 (95% CrI:2021-05-10 - 2021-05-16)
South West,doubling,8.27
South West,surge_report,1 (95% CrI: 1-1.1)
South West,end_scale,1.7 (95% CrI: 1.2-1.9)
