region,parameter,value
South East,R_traveller,1.6 (95% CrI: 1.4-1.8)
South East,R_non_traveller,1.5 (95% CrI: 1.3-1.6)
South East,R_p7,1.5 (95% CrI: 1.3-1.6)
South East,R_p17,1.4 (95% CrI: 1.3-1.5)
South East,R_non_617,0.93 (95% CrI: 0.92-0.94)
South East,ratio_617_2,1.6 (95% CrI: 1.42-1.76)
South East,ratio_617_2_recent,1.56 (95% CrI: 1.37-1.71)
South East,ratio_617_2_end,1.53 (95% CrI: 1.44-1.62)
South East,decline,1.6 (95% CrI: 0.053-8.7)
South East,decline_date,2021-05-13 (95% CrI:2021-05-09 - 2021-05-16)
South East,doubling,12.3
South East,surge_report,1.1 (95% CrI: 1-1.3)
South East,end_scale,0.98 (95% CrI: 0.86-1.2)
