region,parameter,value
North West,R_traveller,2 (95% CrI: 1.8-2.3)
North West,R_non_traveller,1.8 (95% CrI: 1.6-1.8)
North West,R_p7,1.5 (95% CrI: 1.4-1.6)
North West,R_p17,1.4 (95% CrI: 1.3-1.5)
North West,R_non_617,0.95 (95% CrI: 0.94-0.96)
North West,ratio_617_2,1.84 (95% CrI: 1.71-1.95)
North West,ratio_617_2_recent,1.62 (95% CrI: 1.5-1.73)
North West,ratio_617_2_end,1.49 (95% CrI: 1.42-1.56)
North West,decline,12 (95% CrI: 1.6-20)
North West,decline_date,2021-05-10 (95% CrI:2021-05-09 - 2021-05-15)
North West,doubling,10.9
North West,surge_report,1.2 (95% CrI: 1-1.3)
North West,end_scale,0.92 (95% CrI: 0.84-1)
