region,parameter,value
Midlands,R_traveller,1.6 (95% CrI: 1.4-1.9)
Midlands,R_non_traveller,1.5 (95% CrI: 1.3-1.6)
Midlands,R_p7,1.4 (95% CrI: 1.2-1.5)
Midlands,R_p17,1.5 (95% CrI: 1.5-1.6)
Midlands,R_non_617,0.95 (95% CrI: 0.94-0.96)
Midlands,ratio_617_2,1.56 (95% CrI: 1.37-1.66)
Midlands,ratio_617_2_recent,1.51 (95% CrI: 1.31-1.62)
Midlands,ratio_617_2_end,1.59 (95% CrI: 1.53-1.66)
Midlands,decline,2.5 (95% CrI: 0.093-12)
Midlands,decline_date,2021-05-13 (95% CrI:2021-05-09 - 2021-05-16)
Midlands,doubling,10
Midlands,surge_report,1.1 (95% CrI: 1-1.4)
Midlands,end_scale,1.1 (95% CrI: 0.95-1.3)
